"Deaths","Injured","Affected","Damage","Natural","Tech","Africa","America","Asia","Europe","Oceania"
2,80,23080,0,1,0,0,0,1,0,0
14,67,67,0,0,1,1,0,0,0,0
103,2714,204714,41000,1,0,0,0,1,0,0
28,0,0,0,1,0,0,0,1,0,0
0,0,0,0,1,0,0,0,0,1,0
0,0,240,0,1,0,0,1,0,0,0
2,0,300,1e+05,1,0,0,1,0,0,0
0,20,100,0,1,0,0,0,1,0,0
16,24,2524,0,1,0,0,1,0,0,0
93,0,1675,0,1,0,1,0,0,0,0
83,0,3323,0,1,0,1,0,0,0,0
34,183,154183,22000,1,0,0,0,1,0,0
0,0,600,0,1,0,0,0,0,1,0
16,0,11,0,1,0,0,0,1,0,0
84,0,1055,0,1,0,0,0,1,0,0
4,0,246,0,1,0,0,0,1,0,0
0,0,192,0,1,0,0,0,1,0,0
1,0,42000,0,1,0,0,1,0,0,0
0,0,0,20000,1,0,0,0,0,1,0
4,0,0,0,1,0,1,0,0,0,0
27,25,25,0,0,1,0,0,1,0,0
12,10,10,0,0,1,1,0,0,0,0
20,0,0,0,0,1,1,0,0,0,0
20,35,35,0,0,1,0,0,1,0,0
5,0,2000,0,1,0,0,1,0,0,0
0,0,2500,0,0,1,0,1,0,0,0
15,0,203,0,1,0,0,0,1,0,0
15,0,63,0,1,0,1,0,0,0,0
3,0,112,0,1,0,1,0,0,0,0
0,0,0,0,1,0,0,0,1,0,0
40,200,200,240000,1,0,0,0,0,1,0
44,0,0,0,0,1,0,0,1,0,0
71,0,2000,0,1,0,0,0,1,0,0
0,0,0,0,1,0,0,0,1,0,0
4,0,15000,0,1,0,0,0,1,0,0
0,0,240,18150,1,0,0,0,0,1,0
20,0,3e+06,0,1,0,0,0,1,0,0
120,0,0,0,1,0,0,1,0,0,0
20,28,28,0,0,1,1,0,0,0,0
0,1,91,12000,1,0,0,0,0,1,0
0,0,0,85000,1,0,0,0,0,1,0
0,0,0,28500,1,0,0,1,0,0,0
12,0,0,0,0,1,0,1,0,0,0
300,0,1700,0,1,0,1,0,0,0,0
0,0,100,0,1,0,0,0,0,1,0
11,16,16,0,0,1,0,0,1,0,0
17,0,0,0,0,1,1,0,0,0,0
0,0,5500,0,1,0,0,1,0,0,0
20,10,10,0,0,1,1,0,0,0,0
35,0,0,0,0,1,1,0,0,0,0
18,9,9,0,0,1,0,0,0,0,1
33,10,10,0,1,0,0,0,1,0,0
24,0,0,0,1,0,0,0,1,0,0
20,40,40,0,0,1,0,0,1,0,0
0,0,6000,7000,1,0,0,0,0,1,0
13,0,0,0,0,1,1,0,0,0,0
1,0,200,0,1,0,0,0,0,1,0
2,10,10,0,1,0,0,0,0,1,0
43,0,0,0,1,0,0,0,1,0,0
16,0,500,0,1,0,0,0,0,1,0
0,0,0,0,1,0,0,1,0,0,0
3,29,129,0,1,0,0,0,1,0,0
20,0,0,0,0,1,0,0,1,0,0
0,0,1010,0,1,0,0,1,0,0,0
0,0,250,0,1,0,1,0,0,0,0
10,0,0,0,1,0,1,0,0,0,0
22,0,281,0,1,0,1,0,0,0,0
38,0,0,0,1,0,1,0,0,0,0
0,0,114,0,1,0,0,0,1,0,0
18,0,0,0,0,1,0,0,1,0,0
43,10,31010,19000,1,0,0,0,1,0,0
11,50,200050,0,1,0,0,0,1,0,0
7,0,200,0,1,0,0,1,0,0,0
15,0,139667,30000,1,0,0,1,0,0,0
33,0,3e+05,60000,1,0,0,0,1,0,0
66,160,160,0,0,1,0,0,1,0,0
27,176,176,3000,1,0,0,0,0,1,0
6,100,100,0,1,0,0,0,0,1,0
11,300,300,1000,1,0,0,0,1,0,0
7,0,0,50,1,0,0,0,0,1,0
3,70,70,0,1,0,0,0,0,1,0
27,11,11,0,0,1,0,0,0,1,0
19,20,20,0,0,1,1,0,0,0,0
23,20,20,0,0,1,1,0,0,0,0
7,42,7477,0,1,0,0,1,0,0,0
16,0,0,0,0,1,1,0,0,0,0
65,0,0,0,0,1,0,0,1,0,0
13,7,7,0,0,1,0,1,0,0,0
19,0,0,0,0,1,0,1,0,0,0
44,0,0,0,1,0,0,0,1,0,0
0,100,100,0,1,0,1,0,0,0,0
0,0,0,0,1,0,0,0,0,1,0
1,100,100,0,0,1,0,1,0,0,0
11,0,120000,7500,1,0,0,0,1,0,0
75,11,1483321,25763,1,0,0,0,1,0,0
5,400,400,0,1,0,0,0,1,0,0
60,0,0,0,1,0,1,0,0,0,0
134,0,63,0,0,1,0,0,1,0,0
0,0,2500,0,1,0,0,0,1,0,0
12,0,0,0,0,1,0,0,1,0,0
0,0,0,0,1,0,0,1,0,0,0
44,0,0,0,0,1,0,0,1,0,0
32,0,0,0,0,1,0,0,1,0,0
0,2,8077,0,1,0,0,1,0,0,0
7,17,167,17600,1,0,0,0,0,1,0
460,4,5000004,250000,1,0,0,0,1,0,0
22,0,0,0,0,1,0,0,1,0,0
11,32,32,0,0,1,0,0,1,0,0
21,30,30,0,0,1,1,0,0,0,0
260,19,19,0,0,1,1,0,0,0,0
287,38,2838,0,1,0,0,0,1,0,0
58,38,7038,0,1,0,0,0,1,0,0
6,0,25277,0,1,0,0,1,0,0,0
19,15,15,0,0,1,1,0,0,0,0
40,15,15,0,0,1,1,0,0,0,0
17,30,30,0,0,1,0,1,0,0,0
11,140,840,13000,1,0,0,1,0,0,0
15,0,300,0,1,0,0,1,0,0,0
7,0,400,0,1,0,0,1,0,0,0
0,0,0,10000,1,0,0,1,0,0,0
163,0,1101,0,1,0,1,0,0,0,0
11,500,20500,480,1,0,0,0,1,0,0
54,0,0,0,1,0,0,0,1,0,0
2,10,39010,0,1,0,0,0,0,1,0
1,0,100,0,1,0,0,0,1,0,0
0,0,13809,0,0,1,0,0,1,0,0
0,0,300,0,0,1,0,0,1,0,0
27,0,1215,0,1,0,1,0,0,0,0
4,0,419,0,1,0,1,0,0,0,0
35,0,0,0,1,0,0,1,0,0,0
19,38,38,0,0,1,1,0,0,0,0
17,0,0,0,0,1,0,1,0,0,0
10,3,3,0,0,1,0,0,1,0,0
19,0,0,0,0,1,0,0,0,1,0
347,53,3448053,160000,1,0,0,0,1,0,0
33,22,22,0,1,0,0,0,1,0,0
17,0,0,0,0,1,0,1,0,0,0
13,3,2589,23000,1,0,0,0,1,0,0
18,97,97,0,0,1,0,0,1,0,0
14,0,0,0,0,1,0,0,1,0,0
130,0,0,0,1,0,0,0,1,0,0
867,0,2.2e+07,43000,1,0,0,0,1,0,0
47,0,2500000,51050,1,0,0,0,1,0,0
4,0,900,3e+05,1,0,0,0,1,0,0
0,0,2005,0,1,0,0,0,1,0,0
0,124,4124,2000,1,0,0,0,1,0,0
0,0,0,0,1,0,0,1,0,0,0
40,0,0,0,0,1,1,0,0,0,0
114,12,12,0,0,1,0,0,0,1,0
18,0,0,0,0,1,1,0,0,0,0
18,0,0,0,0,1,1,0,0,0,0
